8 00:59:36.078795 BS18_TS05_TEST_02  [SOURCE 1_0] [ROUTING] Start routing
Aug  8 00:52:25.466627 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] inputStream with same type not found
Aug  8 00:52:25.466645 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] inputStream with same type not found
Aug  8 00:52:25.466712 BS18_TS05_TEST_02  [SOURCE 2_0] [ROUTING] Start routing
Aug  8 00:52:25.466719 BS18_TS05_TEST_02  [SOURCE 2_0] [ROUTING] Routing output stream 0, type:VIDEO
Aug  8 00:52:25.466726 BS18_TS05_TEST_02  [SOURCE 2_0] [ROUTING] Routing output stream 1, type:AUDIO
Aug  8 00:52:25.466733 BS18_TS05_TEST_02  [SOURCE 2_0] [ROUTING] Routing output stream 2, type:AUDIO
Aug  8 00:52:25.466739 BS18_TS05_TEST_02  [SOURCE 2_0] [ROUTING] Finished routing
Aug  8 00:52:25.466763 BS18_TS05_TEST_02  [SOURCE 2_0] [ROUTING] inputStream with same type not found
Aug  8 00:52:25.466781 BS18_TS05_TEST_02  [SOURCE 2_0] [ROUTING] inputStream with same type not found
Aug  8 00:52:25.466847 BS18_TS05_TEST_02  [SOURCE 2_1] [ROUTING] Start routing
Aug  8 00:52:25.466856 BS18_TS05_TEST_02  [SOURCE 2_1] [ROUTING] Routing output stream 0, type:VIDEO
Aug  8 00:52:25.466863 BS18_TS05_TEST_02  [SOURCE 2_1] [ROUTING] Routing output stream 1, type:AUDIO
Aug  8 00:52:25.466869 BS18_TS05_TEST_02  [SOURCE 2_1] [ROUTING] Routing output stream 2, type:AUDIO
Aug  8 00:52:25.466875 BS18_TS05_TEST_02  [SOURCE 2_1] [ROUTING] Finished routing
Aug  8 00:52:25.466900 BS18_TS05_TEST_02  [SOURCE 2_1] [ROUTING] inputStream with same type not found
Aug  8 00:52:25.466918 BS18_TS05_TEST_02  [SOURCE 2_1] [ROUTING] inputStream with same type not found
Aug  8 00:52:25.468771 BS18_TS05_TEST_02  [CONFIG] Configuration parsed with success
Aug  8 00:52:25.468932 BS18_TS05_TEST_02  [GENERAL] License status=wait for license
Aug  8 00:52:25.470689 BS18_TS05_TEST_02  [GENERAL] Register in serviceDiscovery interface 'esamreceiver' for networkName 'BS18_05'
Aug  8 00:52:25.576934 BS18_TS05_TEST_02  [GENERAL] License status=started
Aug  8 00:52:25.749642 BS18_TS05_TEST_02  [SOURCE 1_0] [INPUT] Select program by PMT (use default program number)
Aug  8 00:52:25.754879 BS18_TS05_TEST_02  [SOURCE 1_1] [INPUT] Select program by PMT (use default program number)
Aug  8 00:52:26.014938 BS18_TS05_TEST_02  [SOURCE 1_1] [INPUT] Detected program 500
Aug  8 00:52:26.015282 BS18_TS05_TEST_02  [SOURCE 1_1] [INPUT] Detected Video: PID=5005 (0x138d) codec=h264
Aug  8 00:52:26.015303 BS18_TS05_TEST_02  [SOURCE 1_1] [INPUT] Detected Audio: PID=5006 (0x138e) codec=ac3, language=kor
Aug  8 00:52:26.015322 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Start routing
Aug  8 00:52:26.015329 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Input stream 0, type:VIDEO, PID 0x138d
Aug  8 00:52:26.015336 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Input stream 1, type:AUDIO, PID 0x138e
Aug  8 00:52:26.015344 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing output stream 0, type:VIDEO
Aug  8 00:52:26.015375 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Matched input stream 0, type:VIDEO, PID 0x138d
Aug  8 00:52:26.015387 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing output stream 1, type:AUDIO
Aug  8 00:52:26.015397 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Matched input stream 1, type:AUDIO, PID 0x138e
Aug  8 00:52:26.015404 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing output stream 2, type:AUDIO
Aug  8 00:52:26.015413 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Matched input stream 1, type:AUDIO, PID 0x138e
Aug  8 00:52:26.015420 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Finished routing
Aug  8 00:52:26.015435 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing for input PID=5005 (0x138d) on PID=32 (0x20)
Aug  8 00:52:26.015525 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing for input PID=5006 (0x138e) on PID=33 (0x21)
Aug  8 00:52:26.015623 BS18_TS05_TEST_02  [SOURCE 1_1] [ROUTING] Routing for input PID=5006 (0x138e) on PID=34 (0x22)
