-----------Freespace (df -lh)---------------------------
Filesystem                   Size  Used Avail Use% Mounted on
/dev/mapper/vg_main-lv_root   33G  5.4G   26G  18% /
devtmpfs                      94G     0   94G   0% /dev
tmpfs                         94G   52K   94G   1% /dev/shm
tmpfs                         94G     0   94G   0% /sys/fs/cgroup
tmpfs                         94G 1019M   93G   2% /run
/dev/sda1                    488M  314M  139M  70% /boot
/dev/mapper/vg_main-lv_opt    33G  3.1G   28G  10% /opt
/dev/mapper/vg_main-lv_var   110G  1.7G  102G   2% /var

-----------process running (top -n -1 -b)---------------------------
top - 11:37:46 up 17 days,  1:31,  0 users,  load average: 55.55, 48.30, 48.77
Tasks: 923 total,   2 running, 921 sleeping,   0 stopped,   0 zombie
%Cpu(s): 54.2 us,  4.9 sy,  0.1 ni, 40.4 id,  0.0 wa,  0.0 hi,  0.4 si,  0.0 st
KiB Mem : 19651568+total, 15327406+free, 40134556 used,  3107052 buff/cache
KiB Swap:        0 total,        0 free,        0 used. 15460832+avail Mem 

   PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
   251 root      20   0       0      0      0 S   0.0  0.0   0:03.79 ksoftirqd+
   253 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/4+
   254 root      rt   0       0      0      0 S   0.0  0.0   0:05.04 watchdog/+
   255 root      rt   0       0      0      0 S   0.0  0.0   0:04.13 migration+
   256 root      20   0       0      0      0 S   0.0  0.0   0:03.35 ksoftirqd+
   258 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/4+
   259 root      rt   0       0      0      0 S   0.0  0.0   0:03.75 watchdog/+
   260 root      rt   0       0      0      0 S   0.0  0.0   0:07.23 migration+
   261 root      20   0       0      0      0 S   0.0  0.0   3:41.88 ksoftirqd+
   263 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/5+
   264 root      rt   0       0      0      0 S   0.0  0.0   0:03.74 watchdog/+
   265 root      rt   0       0      0      0 S   0.0  0.0   0:06.96 migration+
   266 root      20   0       0      0      0 S   0.0  0.0   2:57.93 ksoftirqd+
   268 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/5+
   269 root      rt   0       0      0      0 S   0.0  0.0   0:03.25 watchdog/+
   270 root      rt   0       0      0      0 S   0.0  0.0   0:04.34 migration+
   271 root      20   0       0      0      0 S   0.0  0.0   0:01.92 ksoftirqd+
   273 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/5+
   274 root      rt   0       0      0      0 S   0.0  0.0   0:03.01 watchdog/+
   275 root      rt   0       0      0      0 S   0.0  0.0   0:04.25 migration+
   276 root      20   0       0      0      0 S   0.0  0.0   0:02.01 ksoftirqd+
   278 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/5+
