-----------Current process (ps aux)---------------------------
USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.0 194056  7192 ?        Ss   Feb27   2:50 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root        304  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/59]
root        305  0.0  0.0      0     0 ?        S    Feb27   0:06 [migration/59]
root        306  0.0  0.0      0     0 ?        S    Feb27   5:40 [ksoftirqd/59]
root        308  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/59:0H]
root        309  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/60]
root        310  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/60]
root        311  0.0  0.0      0     0 ?        S    Feb27   0:01 [ksoftirqd/60]
root        313  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/60:0H]
root        314  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/61]
root        315  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/61]
root        316  0.0  0.0      0     0 ?        S    Feb27   0:21 [ksoftirqd/61]
root        318  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/61:0H]
root        319  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/62]
root        320  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/62]
root        321  0.0  0.0      0     0 ?        S    Feb27   0:02 [ksoftirqd/62]
root        323  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/62:0H]
root        324  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/63]
root        325  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/63]
root        326  0.0  0.0      0     0 ?        S    Feb27   3:12 [ksoftirqd/63]
root        328  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/63:0H]
root        329  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/64]
root        330  0.0  0.0      0     0 ?        S    Feb27   0:09 [migration/64]
root        331  0.0  0.0      0     0 ?        S    Feb27   3:06 [ksoftirqd/64]
root        333  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/64:0H]
root        334  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/65]
root        335  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/65]
root        336  0.0  0.0      0     0 ?        S    Feb27   0:01 [ksoftirqd/65]
root        338  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/65:0H]
root        339  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/66]
root        340  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/66]
root        341  0.0  0.0      0     0 ?        S    Feb27   0:03 [ksoftirqd/66]
root        343  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/66:0H]
root        344  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/67]
root        345  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/67]
root        346  0.0  0.0      0     0 ?        S    Feb27   0:01 [ksoftirqd/67]
root        348  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/67:0H]
root        349  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/68]
root        350  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/68]
root        351  0.0  0.0      0     0 ?        S    Feb27   0:01 [ksoftirqd/68]
root        353  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/68:0H]
root        354  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/69]
root        355  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/69]
root        356  0.0  0.0      0     0 ?        S    Feb27   7:49 [ksoftirqd/69]
root        358  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/69:0H]
root        359  0.0  0.0      0     0 ?        S    Feb27   0:02 [watchdog/70]
